galaxy,failure_boundary_condition,category,diagnostic_note
CamB,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
CamB,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
CamB,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
DDO064,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
DDO064,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
DDO064,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
DDO064,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
DDO154,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
DDO161,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
DDO168,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
DDO170,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
DDO170,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
DDO170,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
ESO079-G014,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
ESO116-G012,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
ESO116-G012,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
ESO563-G021,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F563-1,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
F563-1,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F563-1,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
F563-V2,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
F563-V2,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F563-V2,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
F563-V2,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
F568-1,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F568-1,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F568-1,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
F568-1,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
F568-3,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F568-V1,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F568-V1,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F568-V1,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
F568-V1,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
F571-8,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F571-8,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F574-1,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F574-1,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F579-V1,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F579-V1,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F579-V1,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
F583-1,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
F583-1,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F583-4,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
F583-4,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
F583-4,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
F583-4,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
IC2574,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
IC2574,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
IC4202,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
KK98-251,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0024,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0024,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC0055,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0100,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC0100,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0247,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
NGC0247,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC0247,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0289,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC0289,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0289,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC0300,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC0300,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0801,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
NGC0801,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC0801,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC0801,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC0891,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC0891,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC1003,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC1090,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC1090,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC1705,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
NGC1705,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC1705,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC1705,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC2403,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC2403,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC2683,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC2683,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC2841,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC2841,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC2915,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC2915,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC2955,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC2955,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC2976,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC2976,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC2998,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC2998,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3109,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
NGC3109,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3198,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3198,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3521,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3726,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3726,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3726,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC3741,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
NGC3741,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3769,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3769,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3769,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC3769,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC3877,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
NGC3877,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3877,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3893,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3893,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC3893,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC3917,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3953,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
NGC3953,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3953,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3953,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC3972,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3972,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3972,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC3972,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC3992,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
NGC3992,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC3992,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC3992,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC4010,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC4010,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC4010,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC4013,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC4013,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC4088,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC4088,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC4088,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC4088,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC4100,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC4157,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
NGC4157,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC4157,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC4157,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC4157,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC4183,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC4183,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC4183,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC4214,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC4214,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC4217,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
NGC4217,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC4217,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC4559,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC5005,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC5005,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC5005,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
NGC5033,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC5033,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC5055,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC5371,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
NGC5371,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC5371,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC5585,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC5585,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC5907,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC5907,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC5907,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC5985,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC6015,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC6015,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC6195,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC6503,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC6674,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
NGC6674,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC6674,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC6674,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
NGC6946,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
NGC6946,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
NGC6946,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
