galaxy,dcrra7_residual_map_zone,pc1,pc2,pc3
CamB,PATHOLOGY_ARCHIVE_ZONE,146.05625103052668,-24.377183343188772,-2.2571473609200674
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,158.31134245472413,-23.197290915158707,-2.758679540821239
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.89816860661566,-24.980756497754932,-3.383094871237741
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,158.85582901204154,-22.337590974608975,-1.00132388020001
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,159.216807056739,-22.532173687615966,-0.04711206831086478
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,158.61502398142127,-23.885808130454308,-2.2386572683489647
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.40145054349202,-22.06670287752527,-2.457478567072452
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,160.08155086453453,-24.999355835658978,-2.996361901948809
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,159.76628670444265,-24.26401356626303,-1.3999165033175063
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,158.8041340103206,-23.888644827688243,5.259925458721724
F563-1,NUISANCE_SENSITIVE_ZONE,159.21352998016303,-23.283261902597832,-3.241381557183911
F563-V2,NUISANCE_SENSITIVE_ZONE,160.23795104321994,-24.786816698240223,-3.372090528855432
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.12054371241658,-24.926962022885007,-3.2434095818808557
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,159.82347760690192,-24.839460768752286,-2.8996355662455593
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.69185308350401,-24.715550716187018,-3.3765138391060505
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,158.32251030325244,-24.474366488906927,-2.233217123689464
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,160.4320688807134,-24.64465405893639,-2.9258716217091174
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,161.200993629672,-24.7443310972007,-3.219812041576643
F583-1,RESPONSE_FAMILY_DOMINANT_ZONE,159.69425626380195,-24.928291865576863,-2.813631615581783
F583-4,PATHOLOGY_ARCHIVE_ZONE,-957.1437581272264,412.6761180662724,-2.258215618188138
IC2574,RESPONSE_FAMILY_DOMINANT_ZONE,157.8933592997633,-24.551856695110224,17.561245679213517
IC4202,RESPONSE_FAMILY_DOMINANT_ZONE,159.30669472446374,-23.975413307954714,9.204076292982464
KK98-251,RESPONSE_FAMILY_DOMINANT_ZONE,159.94438600298224,-23.243403649927707,-2.936546891236968
NGC0024,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,158.86052246044446,-24.167974745586015,-2.390466207672651
NGC0055,RESPONSE_FAMILY_DOMINANT_ZONE,160.0387817801352,-23.003252306965315,-2.4876101848857024
NGC0100,RESPONSE_FAMILY_DOMINANT_ZONE,159.569054168125,-24.69900266153172,-2.616630665059569
NGC0247,NUISANCE_SENSITIVE_ZONE,163.00961144212727,-24.620468551294216,7.138817195794145
NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.19885381447966,-24.9898785319981,-2.610207940703336
NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,159.49939147566957,-24.83403856902955,-0.6082661149966337
NGC0801,PATHOLOGY_ARCHIVE_ZONE,160.66305019861284,-24.924918790285634,-2.3991367161863866
NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,159.87134161956482,-24.9044669753774,0.5180760874095551
NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,159.20709531240186,-23.927399993792317,16.263184221971798
NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,160.5069690056651,-24.26774689405153,-2.9414699106553748
NGC1705,NUISANCE_SENSITIVE_ZONE,159.67097064922777,-23.54779707417968,-3.159645735406037
NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,159.46181597010644,-22.812255455039733,-2.571040690668761
NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,160.1863096855598,-25.01126653752789,162.33956733019565
NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.14255921691446,-24.70671440707997,-3.42065007046256
NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.4245211196271,-24.159708394082223,-3.1841493385235107
NGC2903,HALO_COMPARATOR_DOMINANT_ZONE,159.7971233134379,-23.963246371303974,-3.1303441210043945
NGC2915,RESPONSE_FAMILY_DOMINANT_ZONE,158.82402555963122,-24.90119256723851,-2.932903754033909
NGC2955,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.55870008018542,-23.930566788529323,-3.1456778182365452
NGC2976,RESPONSE_FAMILY_DOMINANT_ZONE,161.45207490386233,-24.850061424406245,-2.9012262139474396
NGC2998,RESPONSE_FAMILY_DOMINANT_ZONE,160.74490857838248,-24.821142916436965,-0.9356372706042081
NGC3109,NUISANCE_SENSITIVE_ZONE,159.37618345306305,-22.39510200733746,2.1197355120256547
NGC3198,RESPONSE_FAMILY_DOMINANT_ZONE,159.1901832910735,-24.91319523807566,3.269788872767249
NGC3521,RESPONSE_FAMILY_DOMINANT_ZONE,160.11835080429873,-23.968380407728727,0.07786836634555468
NGC3726,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,158.66538259135154,-24.650275232910094,-2.6958916226440945
NGC3741,NUISANCE_SENSITIVE_ZONE,158.974319948043,-22.28594916248002,0.7741756347402768
NGC3769,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.5671831316844,-24.58022484670867,-3.3450088548170984
NGC3877,PATHOLOGY_ARCHIVE_ZONE,159.12538183984714,-25.013802815304857,-1.6938187776428344
NGC3893,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.09911991530834,-24.27535316969183,-3.4051175705211145
NGC3917,RESPONSE_FAMILY_DOMINANT_ZONE,159.69383556201,-24.629118484945682,-2.9997235463439047
NGC3953,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.59050512862038,-24.830697528934884,-3.415601629817084
NGC3972,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.71974753002442,-24.744401544873178,-2.847599473161023
NGC3992,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.39807346850174,-24.87188002981956,-3.4470243653067327
NGC4010,UNRESOLVED_TRIANGULAR_ZONE,159.93177425925742,-24.50795311360722,-3.2341793613905456
NGC4013,RESPONSE_FAMILY_DOMINANT_ZONE,159.40661476083977,-24.93292100388091,1.8772118494013386
NGC4088,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.09197677415006,-24.513299217191282,-3.4240347214907847
NGC4100,HALO_COMPARATOR_DOMINANT_ZONE,160.4175534946076,-23.96604757362774,-3.627947872682513
NGC4157,NUISANCE_SENSITIVE_ZONE,159.74173448687262,-24.912780175015907,-2.950852358173937
NGC4183,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.10654093231557,-24.392541557955187,-2.8265987572961575
NGC4214,RESPONSE_FAMILY_DOMINANT_ZONE,159.30656627959442,-24.766703671957735,-2.1540452841869424
NGC4217,PATHOLOGY_ARCHIVE_ZONE,159.08384309810714,-24.998264772493368,-0.5166363538922862
NGC4559,RESPONSE_FAMILY_DOMINANT_ZONE,160.06308176319826,-24.049991563188367,-2.4655888303696836
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,161.32106912080442,-24.08557944479456,-3.4266504406690586
NGC5033,HALO_COMPARATOR_DOMINANT_ZONE,159.65305354660214,-24.829367229716954,-3.271888071299169
NGC5055,RESPONSE_FAMILY_DOMINANT_ZONE,159.90453388300793,-23.69961722990854,-1.0268463353137636
NGC5371,PATHOLOGY_ARCHIVE_ZONE,48.842873810633165,-29.639457700349535,-3.3496630254489026
NGC5585,RESPONSE_FAMILY_DOMINANT_ZONE,159.55208936022163,-24.91560880487002,-0.7284894345978902
NGC5907,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.350082641509,-24.468477692728936,-2.0935570156349024
NGC5985,RESPONSE_FAMILY_DOMINANT_ZONE,158.94722963882217,-23.843977612728956,-2.7990725157707534
NGC6015,RESPONSE_FAMILY_DOMINANT_ZONE,159.48210885525287,-24.5082000486675,12.628078081627788
NGC6195,RESPONSE_FAMILY_DOMINANT_ZONE,160.08575057797864,-23.994568280032038,-2.3549508465707585
NGC6503,RESPONSE_FAMILY_DOMINANT_ZONE,158.8534959382304,-24.226049396942127,-0.7247708752675077
NGC6674,PATHOLOGY_ARCHIVE_ZONE,159.3331599967748,-24.794422522124027,-3.254998012938327
NGC6946,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.23196361966805,-24.305785747424377,-2.4733023897569972
NGC7331,NUISANCE_SENSITIVE_ZONE,160.1983208730025,-23.178924196284502,-3.785160521574418
NGC7793,RESPONSE_FAMILY_DOMINANT_ZONE,161.35923504067026,-24.157271239489646,-1.4511798128511089
NGC7814,NUISANCE_SENSITIVE_ZONE,160.3067738440839,-23.702881019792358,-3.2403896007895794
UGC00128,NUISANCE_SENSITIVE_ZONE,159.0411923420475,-22.586737385307902,4.328671396373908
UGC00191,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.21828590381955,-24.433827711596148,-1.125032239921585
UGC00731,NUISANCE_SENSITIVE_ZONE,160.19838176558295,-22.416586603522514,-1.7477733609370136
UGC01230,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.63340945688495,-24.68304684808134,-3.2886943517477483
UGC01281,UNRESOLVED_TRIANGULAR_ZONE,159.10332183193628,-24.67023262845379,-2.8471186136078273
UGC02259,NUISANCE_SENSITIVE_ZONE,159.22456728596245,-24.35216287726014,-2.6921426331123604
UGC02455,PATHOLOGY_ARCHIVE_ZONE,-1753.5662883874675,3318.5411840479246,0.3502443479491837
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,160.54321251247617,-23.74974592734688,-3.1259166429645235
UGC02885,RESPONSE_FAMILY_DOMINANT_ZONE,160.14849584686945,-23.94342223687612,0.705818445495534
UGC02916,NUISANCE_SENSITIVE_ZONE,158.48983465911226,-24.637783902718542,26.136022308372574
UGC02953,RESPONSE_FAMILY_DOMINANT_ZONE,159.38488294987965,-24.208618191436724,3.465596871414924
UGC03205,RESPONSE_FAMILY_DOMINANT_ZONE,159.7172296245124,-24.019472686210978,-1.5569835811465995
UGC03546,RESPONSE_FAMILY_DOMINANT_ZONE,160.39691374574366,-23.3398849833342,-3.057175579263108
UGC03580,HALO_COMPARATOR_DOMINANT_ZONE,159.2050351489713,-23.995017828309358,-4.531381024016505
UGC04278,RESPONSE_FAMILY_DOMINANT_ZONE,157.78087976498753,-24.218421522725,-1.1867220353443775
UGC04305,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,163.1417932353833,-24.764015160111732,-2.897377698592042
UGC04325,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.42405312908002,-24.903852366699436,-3.319025787159438
UGC04483,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.1196756939525,-22.88148941292365,-3.379896740129288
UGC04499,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.07096297494863,-23.66946432915531,-3.1918046463075935
UGC05005,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.459884727592,-24.970387723176643,-3.328190944982844
UGC05253,RESPONSE_FAMILY_DOMINANT_ZONE,160.65130439770078,-23.762404951261782,9.698540513185325
UGC05716,NUISANCE_SENSITIVE_ZONE,159.58409714030103,-22.109062438790893,0.7880380532545016
UGC05721,RESPONSE_FAMILY_DOMINANT_ZONE,159.18418791446354,-23.455252149378246,-2.901040063612617
UGC05750,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.91225682037617,-24.916879892603262,-3.3739505751183123
UGC05764,NUISANCE_SENSITIVE_ZONE,158.72895323287838,-22.54576074040589,-2.3426487604540864
UGC05829,NUISANCE_SENSITIVE_ZONE,160.8115468765327,-23.42482210697747,-2.947778072456231
UGC05918,NUISANCE_SENSITIVE_ZONE,160.80321107468967,-23.92817552560661,-3.3093414201339013
UGC05986,RESPONSE_FAMILY_DOMINANT_ZONE,159.53666296303157,-24.657002667193648,-2.196050667944298
UGC06399,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.48093020699855,-24.179180279433776,-3.2104756736804965
UGC06446,NUISANCE_SENSITIVE_ZONE,160.23000753722732,-22.160916111297237,-2.627495214221864
UGC06614,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.48630029310542,-24.727748490319186,-3.407613192217518
UGC06667,NUISANCE_SENSITIVE_ZONE,159.60127188237945,-22.22004799420139,-2.63305909610335
UGC06786,NUISANCE_SENSITIVE_ZONE,158.95729243791257,-24.786517876582664,14.58485584999019
UGC06787,NUISANCE_SENSITIVE_ZONE,159.42685076032467,-24.351084352988714,-2.275529957475356
UGC06818,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,157.40767780076322,-23.751103302337516,-3.185563301141342
UGC06917,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.57278394569917,-24.38044507272693,-3.1349385359989705
UGC06930,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.75715058914565,-24.80102278246362,-3.3612419173522863
UGC06973,PATHOLOGY_ARCHIVE_ZONE,159.8594988586379,-24.853929402981528,-1.2450019414233222
UGC06983,NUISANCE_SENSITIVE_ZONE,159.03365800310613,-24.512797491631943,-3.3213305739769963
UGC07089,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.269442526312,-24.46864612919509,-3.034261210391112
UGC07125,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.86980329932555,-24.083532308458985,-2.705814045846679
UGC07151,RESPONSE_FAMILY_DOMINANT_ZONE,160.85594322861783,-24.952438801378754,-3.3087194403626947
UGC07323,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.3709704461899,-24.71556382844761,-2.995241046418811
UGC07399,NUISANCE_SENSITIVE_ZONE,160.10598832499744,-23.518348858344243,-1.7582967630884618
UGC07524,RESPONSE_FAMILY_DOMINANT_ZONE,160.99740882611906,-24.307049598741486,-1.3533810068415604
UGC07577,PATHOLOGY_ARCHIVE_ZONE,-19476.545957624494,-346.5650968500742,0.09267688044015987
UGC07603,RESPONSE_FAMILY_DOMINANT_ZONE,159.3549138104273,-23.991098527996588,-3.0380460866882752
UGC07608,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.321709755133,-22.95802113854542,-3.3512992807659754
UGC08286,NUISANCE_SENSITIVE_ZONE,159.1160627621169,-24.395247968180364,-2.084786182594476
UGC08490,RESPONSE_FAMILY_DOMINANT_ZONE,159.55042089585518,-22.63205854738224,-2.1251118796848427
UGC08550,NUISANCE_SENSITIVE_ZONE,159.57064096994645,-24.461975650765595,-2.341407411080063
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,160.65976800998655,-23.77954243237944,2.660018931981214
UGC08837,RESPONSE_FAMILY_DOMINANT_ZONE,157.9537487388198,-23.99463876128353,-3.1845635798701637
UGC09037,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.79685506898215,-24.12071035681603,-3.1724317501002597
UGC09133,RESPONSE_FAMILY_DOMINANT_ZONE,159.55840337703017,-24.05699012850096,-1.0820565967048166
UGC11455,RESPONSE_FAMILY_DOMINANT_ZONE,159.92544499796676,-23.316988797129152,-1.8080052061051652
UGC11557,PATHOLOGY_ARCHIVE_ZONE,159.4310026763268,-24.642688738785576,-3.294874668290222
UGC11820,NUISANCE_SENSITIVE_ZONE,159.77315770266057,-24.622696661447797,1.3299320805083816
UGC11914,PATHOLOGY_ARCHIVE_ZONE,101.99258535238992,-27.401459555391042,6.972214723370873
UGC12506,HALO_COMPARATOR_DOMINANT_ZONE,161.39931919343027,-24.671831331817984,-3.029427249808651
UGC12632,NUISANCE_SENSITIVE_ZONE,160.86673414459537,-24.39256554311685,-3.0449793446885938
UGC12732,NUISANCE_SENSITIVE_ZONE,160.02981751303165,-22.820634841223118,-0.5982535703002081
UGCA442,NUISANCE_SENSITIVE_ZONE,159.00429743381252,-22.46510050355871,-2.3719097445229655
UGCA444,NUISANCE_SENSITIVE_ZONE,160.48806734018729,-22.677991133297276,-2.1874711001372735
