galaxy,zone,rotmod_points,Rlast_kpc,winning_comparator,winning_comparator_family,winning_aic,params_json,rss
CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.9105344300797,"{""coef"": [-0.08709885666600417, 2.001756796263452, -19.79103060375061, 48.68963728068268, -47.48251834101263, 16.99773290759565], ""degree"": 5}",0.0017531888926713736
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.2933528785847,"{""coef"": [0.02494713578276848, -1.2654659837102558, 7.258303995888417, -8.706039973309245, 5.813976282469829, -2.293252970055908], ""degree"": 5}",0.0013168137029546969
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-42.47510672125889,"{""coef"": [-0.06422586315913396, 3.2491202454864347, -27.00993233391626, 90.98187533469518, -115.61254805729155, 49.10727536477571], ""degree"": 5}",0.008641638963552372
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-38.53976380152537,"{""coef"": [0.03536064816684577, -1.336747477639933, 14.58359010041988, -31.31639521195183, 29.43111997225403, -10.630298289484665], ""degree"": 5}",0.00044485075023355735
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-75.47539740654729,"{""amplitude"": 0.7534963559647571, ""n"": 3.0, ""scale"": 0.5}",0.007594405348391407
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-3.721092733536535,"{""coef"": [0.03146620978081077, 0.24437591693415028, -6.51463372984064, 31.680764590190233, -41.752728619161005, 16.95844997349331], ""degree"": 5}",0.007285019010048563
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-12.435396369633661,"{""coef"": [-0.09811577874180628, 0.18341861868954557, 10.743812897548532, -28.273765910892, 27.076522285248686, -8.851015449648003], ""degree"": 5}",0.000942996910452712
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-15.917161425109907,"{""coef"": [0.10531957936992468, -3.3757491281821492, 22.62682169369515, -48.943254712184014, 44.972835490755266, -14.921567808201397], ""degree"": 5}",0.006358849714264219
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-20.29998557845091,"{""amplitude"": 0.6941510457967993, ""scale"": 0.4}",0.010533557780264855
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.479268004049004,"{""coef"": [-0.14289610425120916, 1.65549439347649, 1.710439685492767, -18.368902749832923, 30.05204964020489, -14.356898799906427], ""degree"": 5}",0.04461248147561502
F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-20.57149429410031,"{""amplitude"": 0.7710956172933202, ""scale"": 0.15}",0.1424165415900837
F563-V2,NUISANCE_SENSITIVE_ZONE,10,10.47,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-33.597574566790456,"{""amplitude"": 0.7917069528204832, ""n"": 3.0, ""scale"": 0.2}",0.003929870989549871
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,13.23,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-57.77328047083573,"{""coef"": [0.0343565943675364, -1.5857059882555038, 23.956666871218086, -65.53778973137307, 70.61071230324193, -26.714533479714465], ""degree"": 5}",0.00039015831766533825
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.98,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-53.01285853874441,"{""coef"": [0.04894218005373059, -2.3505783317980407, 28.40489248264624, -81.33997597669824, 91.83802257327712, -35.88030279161047], ""degree"": 5}",0.0059794315254509504
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,15,17.63,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-48.78880093596625,"{""coef"": [-0.03780703770827399, 1.902149068340262, 13.136635514237303, -57.36630156719715, 75.15968997752734, -31.96614050085393], ""degree"": 5}",0.005259668515355087
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,13,15.55,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-16.853443897120492,"{""coef"": [0.07237409826023089, -10.119007632836185, 66.42948682326725, -147.9002014756093, 144.31638737629427, -51.953513027727084], ""degree"": 5}",0.00421472620467165
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,14,12.6,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-39.08675176241914,"{""amplitude"": 0.6590069180066317, ""n"": 3.0, ""scale"": 0.25}",0.003413372256083612
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,14,15.16,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-59.930090385864446,"{""coef"": [-0.12591710487086288, 8.494376224380325, -39.135472816555755, 80.16262823619272, -74.83488119814174, 26.04634104243748], ""degree"": 5}",0.0025107538708010737
F583-1,RESPONSE_FAMILY_DOMINANT_ZONE,25,16.26,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-62.46525171833842,"{""amplitude"": 0.793342122735833, ""n"": 2.25, ""scale"": 0.25}",0.011629976275302642
F583-4,PATHOLOGY_ARCHIVE_ZONE,12,7.29,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-24.78865383632134,"{""intercept"": 0.0034189365076294827, ""slope"": 0.6139311053558372}",0.010815247146980986
IC2574,RESPONSE_FAMILY_DOMINANT_ZONE,34,10.23,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-54.699454785681354,"{""coef"": [0.02754376454047464, -1.1134830104892217, 11.007925758530686, -31.10818124346583, 38.44594092327487, -16.62638162904319], ""degree"": 5}",0.0750637348590202
IC4202,RESPONSE_FAMILY_DOMINANT_ZONE,32,25.9,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,23.291416712036447,"{""coef"": [-0.5695624749995022, 5.149907130850066, -14.670607644904226, 15.757133229296807, -3.094491088756929, -2.247179165219613], ""degree"": 5}",0.12864897895142308
KK98-251,RESPONSE_FAMILY_DOMINANT_ZONE,15,3.13,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-25.894196939389303,"{""coef"": [-0.14078680098497534, 2.692940602648255, -15.083526637646434, 39.401388252136506, -40.88897809779921, 14.609272153238278], ""degree"": 5}",0.009353948725097464
NGC0024,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,29,11.27,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-57.30935496212577,"{""coef"": [-0.11763796539614312, 5.553112960766771, -18.350500367569197, 28.386578726804508, -19.390635714996705, 4.752077482725994], ""degree"": 5}",0.02578406569593816
NGC0055,RESPONSE_FAMILY_DOMINANT_ZONE,21,13.5,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-48.998280372424546,"{""coef"": [0.10642866230737952, -2.415974276762698, 14.267504878521947, -23.27903259491805, 15.458165073087002, -3.5743045567286664], ""degree"": 5}",0.006069402368314374
NGC0100,RESPONSE_FAMILY_DOMINANT_ZONE,21,9.62,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-56.10758945620216,"{""coef"": [0.016807447438283763, -0.931064885505281, 6.261450903577863, -7.129265136094877, 1.4160080769261612, 1.1426098162694431], ""degree"": 5}",0.00647633964657191
NGC0247,NUISANCE_SENSITIVE_ZONE,26,14.54,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-89.74579944129135,"{""coef"": [-0.28026378249243145, 6.323495107543418, -29.592671625851075, 64.3026003410858, -61.84823193806517, 21.794735273731245], ""degree"": 5}",0.002784574765265208
NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,9.046248459382982,"{""coef"": [-0.848762373767399, 11.557637324781833, -50.4714778503218, 112.05938198694366, -115.37865763561106, 43.63890660516175], ""degree"": 5}",0.49860070958762887
NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-29.77611305178681,"{""coef"": [0.06525312415703835, -1.8533418087003124, 21.221023340622725, -57.88825503553765, 65.38928942128962, -26.278573497901554], ""degree"": 5}",0.049466568527832155
NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,7.86392273452069,"{""intercept"": -0.3801343067167171, ""slope"": 0.6850782973464025}",0.04404067295087641
NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,18.970164216064447,"{""coef"": [0.6723849907697277, -30.321812721380986, 148.16087259156652, -290.8276211266198, 257.8277859497647, -85.4960185834166], ""degree"": 5}",0.07770033153291818
NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,4.23044501458769,"{""coef"": [-0.23694247055351975, 2.4479211716615557, -0.18312715516147315, -8.380541731048627, 13.536576440185073, -6.390002199596225], ""degree"": 5}",0.07833506839305504
NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-1.3480837942378985,"{""intercept"": -0.17904265724617346, ""slope"": 0.5935998082332937}",0.05907779553240683
NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-37.73274607539049,"{""coef"": [0.15138939076920258, 2.37269910720192, 0.07039646425058388, -11.562781593570284, 17.69987137031548, -7.902930307587039], ""degree"": 5}",0.010458638222245404
NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-45.87159854268536,"{""coef"": [0.04330193512811142, -1.8587978473542217, 13.116670555647064, -19.697193297676765, 9.847574008838434, -0.9302644536956298], ""degree"": 5}",0.015583138355214002
NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-37.66870096893659,"{""coef"": [0.07555237406539189, -3.8282816371127466, 32.92219094681041, -79.76440841062866, 81.3685225337694, -30.023308841575407], ""degree"": 5}",0.10475048049686735
NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,6.836541053333514,"{""coef"": [-0.21551579325149375, -3.694803105762946, 33.48979394992819, -84.38676982909983, 87.00357725506976, -31.92858803873504], ""degree"": 5}",0.03899627671621798
NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-76.32763886789027,"{""coef"": [0.040255925135406934, 0.8613313574192162, 4.701563455772556, -17.658827556389003, 20.669223431885634, -7.963480327423592], ""degree"": 5}",0.034814042388697036
NGC2903,HALO_COMPARATOR_DOMINANT_ZONE,34,24.96,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,61.2751592613153,"{""gas_coef"": 21.449554419404645, ""stellar_coef"": -0.5463254767937159}",0.48317042916783565
NGC2915,RESPONSE_FAMILY_DOMINANT_ZONE,30,10.04,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-51.10356768866185,"{""coef"": [-0.30388813681363475, 0.4751841710093152, 29.300569790236292, -94.96833811409154, 107.74035129290837, -41.376953683199076], ""degree"": 5}",0.10068387915942885
NGC2955,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,24,35.43,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,13.260003164666784,"{""coef"": [0.19810746125570075, -10.046123192603666, 46.75272004572757, -81.87356551457803, 63.03010684920534, -17.979919276738954], ""degree"": 5}",0.08508229111878077
NGC2976,RESPONSE_FAMILY_DOMINANT_ZONE,27,2.27,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-37.910878246687076,"{""coef"": [0.008614393141151165, -0.5520247387729819, 3.5035629036958778, -8.914907546299636, 8.91541855079551, -2.7910241656063244], ""degree"": 5}",0.020593894077282397
NGC2998,RESPONSE_FAMILY_DOMINANT_ZONE,13,42.28,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-6.3694752180592324,"{""coef"": [0.2025168988112718, -3.109823408825283, 10.759693157725472, -10.634712636448903, 2.7380873785430286, 0.4884860902744652], ""degree"": 5}",0.031284251336210524
NGC3109,NUISANCE_SENSITIVE_ZONE,25,6.45,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-74.49007371167858,"{""coef"": [0.03875366220123709, -1.0292509824182128, 10.26495137732455, -22.071746121905633, 21.85127229668228, -8.182799500848173], ""degree"": 5}",0.004827882063878697
NGC3198,RESPONSE_FAMILY_DOMINANT_ZONE,43,44.08,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-9.777907338046802,"{""coef"": [-0.09275940892304216, 0.0007986607331932349, 11.698556695900503, -31.562047311666486, 31.865241376907466, -11.25007979382477], ""degree"": 5}",0.07540859240299949
NGC3521,RESPONSE_FAMILY_DOMINANT_ZONE,41,17.74,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.371975725246216,"{""coef"": [-0.185805785888286, -5.7240998330301975, 21.657903670785714, -21.20134399578319, 1.2740625268011874, 4.588725723307246], ""degree"": 5}",0.07709797716902324
NGC3726,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,12,32.52,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,4.112527835780481,"{""coef"": [0.15749747678993237, -8.469747797127024, 47.285099587698085, -108.89291382882315, 115.9501445445591, -45.54699641063775], ""degree"": 5}",0.03176671575737814
NGC3741,NUISANCE_SENSITIVE_ZONE,21,7.0,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-25.9866711505718,"{""coef"": [-0.05514452569863334, 2.1269572881405705, -6.442699581596125, 18.08856597974519, -21.47918393745246, 8.689413973165745], ""degree"": 5}",0.011474152297933428
NGC3769,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,37.16,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-6.850288843088439,"{""gas_coef"": 8.669151642831133, ""stellar_coef"": -0.6592916366943984}",0.10080248947691213
NGC3877,PATHOLOGY_ARCHIVE_ZONE,13,11.35,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-2.641664463861641,"{""coef"": [-0.2248366333431731, -3.7006042272965103, 40.52740648346355, -118.25817621243296, 130.65441248972172, -49.31093079855139], ""degree"": 5}",0.014921686816282979
NGC3893,MIXED_THREE_WAY_COMPETITIVE_ZONE,10,19.05,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-23.086827909421437,"{""coef"": [-0.6240468915790938, 0.26930020449857595, 9.41168040978118, -23.109387501439098, 22.514254588460812, -8.154133558279858], ""degree"": 5}",0.0013660218635681146
NGC3917,RESPONSE_FAMILY_DOMINANT_ZONE,17,14.86,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.015242901422749,"{""coef"": [-0.20053596379875438, 2.9354381766575957, -8.26038438600195, 12.494875466673252, -9.23967868678461, 2.8024068490680953], ""degree"": 5}",0.011979919958208287
NGC3953,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,15.68,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-18.245500820279773,"{""coef"": [0.21270488979428712, -6.48731086774255, 35.87556156281608, -82.77319451676468, 83.05266739938433, -29.94302168357514], ""degree"": 5}",0.0005027230386659444
NGC3972,MIXED_THREE_WAY_COMPETITIVE_ZONE,10,8.72,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.01902753116196,"{""coef"": [-0.037443599931829705, -1.2020969225556777, 16.284958994692158, -48.02698858190869, 54.91879196605592, -21.460631929550008], ""degree"": 5}",0.0036922292978222504
NGC3992,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,9,46.02,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-7.145997398438901,"{""coef"": [1.9790485143439105, -19.404394848731638, 74.13176839174145, -129.45232025242834, 106.91077574634443, -33.74243790069149], ""degree"": 5}",0.002681053143898146
NGC4010,UNRESOLVED_TRIANGULAR_ZONE,12,10.47,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.473672527756648,"{""coef"": [0.09652416165194781, -0.08187816333279023, -12.257995156552587, 48.21834779194864, -59.163019320169816, 23.525810419293798], ""degree"": 5}",0.003086103105136584
NGC4013,RESPONSE_FAMILY_DOMINANT_ZONE,36,31.01,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-9.61486468025102,"{""coef"": [1.7993589495061006, -26.148276491434395, 114.18324489155518, -218.1508078087202, 194.78711640782086, -66.07710688907207], ""degree"": 5}",0.06627728501843538
NGC4088,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,21.48,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,10.387037880296244,"{""gas_coef"": 4.1989729865234295, ""stellar_coef"": -0.601980187344188}",0.12638350297895035
NGC4100,HALO_COMPARATOR_DOMINANT_ZONE,24,22.76,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,12.376799760595887,"{""amplitude"": 0.3341284297873926, ""n"": 8.0, ""scale"": 0.5}",0.09701293838946919
NGC4157,NUISANCE_SENSITIVE_ZONE,17,29.61,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-8.00661874961105,"{""coef"": [0.09494086704331056, -9.108930874176345, 37.83427762193945, -58.96514067220293, 41.9102654116666, -11.352822799440201], ""degree"": 5}",0.02818996603344127
NGC4183,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,23,21.02,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-57.23774653728627,"{""coef"": [-0.08222861541484061, 3.4477881092974116, -9.906943618314404, 13.726071154581518, -8.107473841243621, 1.5790552065293635], ""degree"": 5}",0.007956902501320234
NGC4214,RESPONSE_FAMILY_DOMINANT_ZONE,14,5.63,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-44.075283784760245,"{""coef"": [0.5240455096371265, -6.6364650072711875, 35.42899100551606, -66.44030518981205, 54.5230523301885, -16.563273938086663], ""degree"": 5}",0.00317372419253704
NGC4217,PATHOLOGY_ARCHIVE_ZONE,19,16.72,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,2.3991330267071937,"{""coef"": [0.42855700953543846, -24.98654811108376, 117.17953686456671, -215.48288682301057, 179.00371560537883, -55.96169890081711], ""degree"": 5}",0.0435986908119054
NGC4559,RESPONSE_FAMILY_DOMINANT_ZONE,32,20.97,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-84.10964990479015,"{""coef"": [-0.04829245663502222, -1.3550447126170346, 1.9310938421305142, 13.262655063753291, -25.064648279190106, 11.764372704843856], ""degree"": 5}",0.008652176145136088
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,18,11.47,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-29.448662150483173,"{""coef"": [-0.35414546180000217, -3.728634639467329, 19.320962491396187, -39.6286687238914, 36.88389147478131, -12.579134669642507], ""degree"": 5}",0.055591998700283224
NGC5033,HALO_COMPARATOR_DOMINANT_ZONE,22,44.59,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,1.7658070134657695,"{""coef"": [-1.3185793578589788, 10.605040270619806, -27.223234866403317, 39.52771942888507, -32.22527753382491, 11.150235131357938], ""degree"": 5}",0.11812989612751787
NGC5055,RESPONSE_FAMILY_DOMINANT_ZONE,28,54.59,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,0.0191950275353463,"{""coef"": [-0.7105677182759711, -5.929356920219071, 56.240285157223, -138.93793063883993, 141.00794018413183, -51.33630238497757], ""degree"": 5}",0.07812175947744206
NGC5371,PATHOLOGY_ARCHIVE_ZONE,19,46.24,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-4.156743890091384,"{""coef"": [-0.23459884380859902, 3.039138637599591, -31.506698614414205, 85.53707691027348, -89.42756764340862, 32.77523046847805], ""degree"": 5}",0.020686131320083245
NGC5585,RESPONSE_FAMILY_DOMINANT_ZONE,24,10.96,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-23.729290175946446,"{""coef"": [0.03102550302494771, -2.642329487111836, 18.369260128241518, -35.4889652883867, 30.485628448960085, -10.101835080532183], ""degree"": 5}",0.017877640945754423
NGC5907,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,19,50.33,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-18.97569928338386,"{""coef"": [1.0217516103373658, -11.717653364293664, 48.835716595140475, -89.10669281812409, 76.27149283613184, -24.83210427097762], ""degree"": 5}",0.00959959445313718
NGC5985,RESPONSE_FAMILY_DOMINANT_ZONE,33,34.72,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-48.66092851491235,"{""coef"": [-0.659298220618117, 13.417310811411543, -56.28371392895947, 103.61433228902658, -86.41676865254273, 26.809191108153975], ""degree"": 5}",0.015152840483227266
NGC6015,RESPONSE_FAMILY_DOMINANT_ZONE,44,29.23,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-6.1185973112274965,"{""coef"": [0.014791214817750632, 2.1163889319448472, -19.4471117811648, 66.17006444010865, -82.12591273305672, 33.925620883316746], ""degree"": 5}",0.08264347112105293
