proxy,split,threshold,outcome,n_low,n_high,low_rate,high_rate,high_minus_low_rate,abs_rate_difference,permutation_p_two_sided,strong_association_flag
n_points,median,17.0,existing_aicc_overflex_flag,75,68,0.30666666666666664,0.6470588235294118,0.34039215686274515,0.34039215686274515,0.001998001998001998,True
n_points,median,17.0,response_family_zone_flag,75,68,0.4,0.6911764705882353,0.29117647058823526,0.29117647058823526,0.001998001998001998,True
v_max_kms,median,114.0,existing_aicc_overflex_flag,72,71,0.3333333333333333,0.6056338028169014,0.27230046948356806,0.27230046948356806,0.001998001998001998,True
v_outer_kms,median,110.5011312159292,existing_aicc_overflex_flag,72,71,0.3472222222222222,0.5915492957746479,0.24432707355242567,0.24432707355242567,0.005994005994005994,True
kernel_curve_rmse,median,0.1800886100038058,existing_aicc_overflex_flag,72,71,0.3611111111111111,0.5774647887323944,0.21635367762128327,0.21635367762128327,0.013986013986013986,True
n_points,median,17.0,nuisance_or_pathology_zone_flag,75,68,0.38666666666666666,0.19117647058823528,-0.19549019607843138,0.19549019607843138,0.023976023976023976,False
negative_residual_v2_fraction,median,0.0909090909090909,existing_aicc_overflex_flag,72,71,0.375,0.5633802816901409,0.18838028169014087,0.18838028169014087,0.026973026973026972,False
roughness_rms_diff,median,0.030937135202683,existing_bic_overflex_flag,72,71,0.7638888888888888,0.5915492957746479,-0.17233959311424096,0.17233959311424096,0.04195804195804196,False
kernel_curve_rmse,median,0.1800886100038058,snrrf_existing_aicc_winner_flag,72,71,0.19444444444444445,0.028169014084507043,-0.16627543035993742,0.16627543035993742,0.005994005994005994,False
outer_baryon_fraction_proxy,median,0.365938415666359,nuisance_or_pathology_zone_flag,72,71,0.375,0.2112676056338028,-0.1637323943661972,0.1637323943661972,0.04995004995004995,False
v_max_kms,median,114.0,nuisance_or_pathology_zone_flag,72,71,0.375,0.2112676056338028,-0.1637323943661972,0.1637323943661972,0.03296703296703297,False
outer_baryon_fraction_proxy,median,0.365938415666359,existing_bic_overflex_flag,72,71,0.5972222222222222,0.7605633802816901,0.16334115805946792,0.16334115805946792,0.04095904095904096,False
roughness_rms_diff,median,0.030937135202683,existing_aicc_overflex_flag,72,71,0.3888888888888889,0.5492957746478874,0.16040688575899847,0.16040688575899847,0.06393606393606394,False
kernel_curve_corr,median,0.9587852727474336,existing_aicc_overflex_flag,72,71,0.5416666666666666,0.39436619718309857,-0.14730046948356806,0.14730046948356806,0.09290709290709291,False
n_points,median,17.0,existing_bic_overflex_flag,75,68,0.7466666666666667,0.6029411764705882,-0.1437254901960785,0.1437254901960785,0.07692307692307693,False
v_outer_kms,median,110.5011312159292,nuisance_or_pathology_zone_flag,72,71,0.3611111111111111,0.22535211267605634,-0.13575899843505476,0.13575899843505476,0.0939060939060939,False
negative_residual_v2_fraction,median,0.0909090909090909,nuisance_or_pathology_zone_flag,72,71,0.3611111111111111,0.22535211267605634,-0.13575899843505476,0.13575899843505476,0.0919080919080919,False
outer_baryon_fraction_proxy,median,0.365938415666359,existing_aicc_overflex_flag,72,71,0.4027777777777778,0.5352112676056338,0.13243348982785597,0.13243348982785597,0.12787212787212787,False
best_n,median,2.25,nuisance_or_pathology_zone_flag,77,66,0.35064935064935066,0.22727272727272727,-0.12337662337662339,0.12337662337662339,0.13286713286713286,False
gas_fraction_proxy,median,0.0826615559827784,existing_aicc_overflex_flag,72,71,0.5277777777777778,0.4084507042253521,-0.11932707355242567,0.11932707355242567,0.17082917082917082,False
best_n,median,2.25,existing_bic_overflex_flag,77,66,0.6233766233766234,0.7424242424242424,0.11904761904761907,0.11904761904761907,0.13486513486513488,False
rrf_A_over_vouter2,median,0.762686372163753,existing_bic_overflex_flag,72,71,0.7361111111111112,0.6197183098591549,-0.11639280125195628,0.11639280125195628,0.15684315684315683,False
gas_fraction_proxy,median,0.0826615559827784,nuisance_or_pathology_zone_flag,72,71,0.2361111111111111,0.352112676056338,0.1160015649452269,0.1160015649452269,0.13686313686313686,False
kernel_curve_corr,median,0.9587852727474336,snrrf_existing_aicc_winner_flag,72,71,0.05555555555555555,0.16901408450704225,0.1134585289514867,0.1134585289514867,0.026973026973026972,False
v_outer_kms,median,110.5011312159292,snrrf_existing_aicc_winner_flag,72,71,0.16666666666666666,0.056338028169014086,-0.11032863849765256,0.11032863849765256,0.057942057942057944,False
v_max_kms,median,114.0,snrrf_existing_aicc_winner_flag,72,71,0.16666666666666666,0.056338028169014086,-0.11032863849765256,0.11032863849765256,0.060939060939060936,False
negative_residual_v2_fraction,median,0.0909090909090909,snrrf_existing_aicc_winner_flag,72,71,0.16666666666666666,0.056338028169014086,-0.11032863849765256,0.11032863849765256,0.058941058941058944,False
gas_fraction_proxy,median,0.0826615559827784,response_family_zone_flag,72,71,0.5833333333333334,0.49295774647887325,-0.09037558685446012,0.09037558685446012,0.32367632367632365,False
rrf_rc_over_rlast,median,0.3135420143107699,response_family_zone_flag,72,71,0.5833333333333334,0.49295774647887325,-0.09037558685446012,0.09037558685446012,0.3036963036963037,False
median_err_fraction,median,0.0442729492729492,response_family_zone_flag,72,71,0.5833333333333334,0.49295774647887325,-0.09037558685446012,0.09037558685446012,0.3006993006993007,False
kernel_curve_rmse,median,0.1800886100038058,nuisance_or_pathology_zone_flag,72,71,0.25,0.3380281690140845,0.0880281690140845,0.0880281690140845,0.29270729270729273,False
roughness_rms_diff,median,0.030937135202683,phase5_overflex_winner_flag,72,71,0.9027777777777778,0.8169014084507042,-0.08587636932707354,0.08587636932707354,0.16683316683316685,False
rrf_A_over_vouter2,median,0.762686372163753,snrrf_existing_aicc_winner_flag,72,71,0.1527777777777778,0.07042253521126761,-0.08235524256651018,0.08235524256651018,0.18981018981018982,False
roughness_rms_diff,median,0.030937135202683,snrrf_existing_aicc_winner_flag,72,71,0.1527777777777778,0.07042253521126761,-0.08235524256651018,0.08235524256651018,0.19880119880119881,False
outer_baryon_fraction_proxy,median,0.365938415666359,phase5_overflex_winner_flag,72,71,0.8194444444444444,0.9014084507042254,0.08196400625978095,0.08196400625978095,0.23076923076923078,False
negative_residual_v2_fraction,median,0.0909090909090909,phase5_overflex_winner_flag,72,71,0.8194444444444444,0.9014084507042254,0.08196400625978095,0.08196400625978095,0.2047952047952048,False
negative_residual_v2_fraction,median,0.0909090909090909,existing_bic_overflex_flag,72,71,0.6388888888888888,0.7183098591549296,0.07942097026604078,0.07942097026604078,0.37662337662337664,False
outer_baryon_fraction_proxy,median,0.365938415666359,response_family_zone_flag,72,71,0.5,0.5774647887323944,0.07746478873239437,0.07746478873239437,0.3916083916083916,False
v_max_kms,median,114.0,response_family_zone_flag,72,71,0.5,0.5774647887323944,0.07746478873239437,0.07746478873239437,0.4095904095904096,False
negative_residual_v2_fraction,median,0.0909090909090909,response_family_zone_flag,72,71,0.5,0.5774647887323944,0.07746478873239437,0.07746478873239437,0.3986013986013986,False
best_n,median,2.25,poly_aicc_high_flex_flag,77,66,0.8701298701298701,0.9393939393939394,0.06926406926406936,0.06926406926406936,0.24775224775224775,False
median_err_fraction,median,0.0442729492729492,existing_aicc_overflex_flag,72,71,0.5,0.43661971830985913,-0.06338028169014087,0.06338028169014087,0.5124875124875125,False
rrf_A_over_vouter2,median,0.762686372163753,nuisance_or_pathology_zone_flag,72,71,0.2638888888888889,0.323943661971831,0.0600547730829421,0.0600547730829421,0.47952047952047955,False
best_n,median,2.25,existing_aicc_overflex_flag,77,66,0.44155844155844154,0.5,0.05844155844155846,0.05844155844155846,0.5084915084915085,False
kernel_curve_rmse,median,0.1800886100038058,poly_aicc_high_flex_flag,72,71,0.9305555555555556,0.8732394366197183,-0.057316118935837324,0.057316118935837324,0.26573426573426573,False
rrf_rc_over_rlast,median,0.3135420143107699,poly_aicc_high_flex_flag,72,71,0.875,0.9295774647887324,0.05457746478873238,0.05457746478873238,0.3786213786213786,False
median_err_fraction,median,0.0442729492729492,poly_aicc_high_flex_flag,72,71,0.875,0.9295774647887324,0.05457746478873238,0.05457746478873238,0.4155844155844156,False
negative_residual_v2_fraction,median,0.0909090909090909,poly_aicc_high_flex_flag,72,71,0.875,0.9295774647887324,0.05457746478873238,0.05457746478873238,0.37462537462537465,False
v_max_kms,median,114.0,phase5_overflex_winner_flag,72,71,0.8333333333333334,0.8873239436619719,0.0539906103286385,0.0539906103286385,0.4825174825174825,False
rrf_rc_over_rlast,median,0.3135420143107699,phase5_overflex_winner_flag,72,71,0.8333333333333334,0.8873239436619719,0.0539906103286385,0.0539906103286385,0.47152847152847155,False
kernel_curve_rmse,median,0.1800886100038058,phase5_overflex_winner_flag,72,71,0.8333333333333334,0.8873239436619719,0.0539906103286385,0.0539906103286385,0.4885114885114885,False
best_n,median,2.25,phase5_overflex_winner_flag,77,66,0.8831168831168831,0.8333333333333334,-0.04978354978354971,0.04978354978354971,0.46553446553446554,False
v_outer_kms,median,110.5011312159292,response_family_zone_flag,72,71,0.5138888888888888,0.5633802816901409,0.04949139280125203,0.04949139280125203,0.6143856143856143,False
roughness_rms_diff,median,0.030937135202683,response_family_zone_flag,72,71,0.5138888888888888,0.5633802816901409,0.04949139280125203,0.04949139280125203,0.6273726273726273,False
n_points,median,17.0,phase5_overflex_winner_flag,75,68,0.84,0.8823529411764706,0.04235294117647059,0.04235294117647059,0.4785214785214785,False
best_n,median,2.25,response_family_zone_flag,77,66,0.5194805194805194,0.5606060606060606,0.04112554112554112,0.04112554112554112,0.7482517482517482,False
kernel_curve_rmse,median,0.1800886100038058,response_family_zone_flag,72,71,0.5555555555555556,0.5211267605633803,-0.03442879499217533,0.03442879499217533,0.7422577422577422,False
gas_fraction_proxy,median,0.0826615559827784,existing_bic_overflex_flag,72,71,0.6944444444444444,0.6619718309859155,-0.03247261345852892,0.03247261345852892,0.7362637362637363,False
median_err_fraction,median,0.0442729492729492,existing_bic_overflex_flag,72,71,0.6944444444444444,0.6619718309859155,-0.03247261345852892,0.03247261345852892,0.7492507492507493,False
kernel_curve_corr,median,0.9587852727474336,existing_bic_overflex_flag,72,71,0.6944444444444444,0.6619718309859155,-0.03247261345852892,0.03247261345852892,0.7142857142857143,False
kernel_curve_rmse,median,0.1800886100038058,existing_bic_overflex_flag,72,71,0.6944444444444444,0.6619718309859155,-0.03247261345852892,0.03247261345852892,0.7392607392607392,False
median_err_fraction,median,0.0442729492729492,phase5_overflex_winner_flag,72,71,0.875,0.8450704225352113,-0.029929577464788748,0.029929577464788748,0.6383616383616384,False
gas_fraction_proxy,median,0.0826615559827784,poly_aicc_high_flex_flag,72,71,0.9166666666666666,0.8873239436619719,-0.02934272300469476,0.02934272300469476,0.5994005994005994,False
roughness_rms_diff,median,0.030937135202683,poly_aicc_high_flex_flag,72,71,0.9166666666666666,0.8873239436619719,-0.02934272300469476,0.02934272300469476,0.5644355644355644,False
outer_baryon_fraction_proxy,median,0.365938415666359,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7692307692307693,False
v_outer_kms,median,110.5011312159292,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7682317682317682,False
v_max_kms,median,114.0,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7902097902097902,False
kernel_curve_corr,median,0.9587852727474336,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7522477522477522,False
gas_fraction_proxy,median,0.0826615559827784,snrrf_existing_aicc_winner_flag,72,71,0.125,0.09859154929577464,-0.02640845070422536,0.02640845070422536,0.7702297702297702,False
outer_baryon_fraction_proxy,median,0.365938415666359,snrrf_existing_aicc_winner_flag,72,71,0.125,0.09859154929577464,-0.02640845070422536,0.02640845070422536,0.8061938061938062,False
v_outer_kms,median,110.5011312159292,phase5_overflex_winner_flag,72,71,0.8472222222222222,0.8732394366197183,0.026017214397496047,0.026017214397496047,0.8321678321678322,False
kernel_curve_corr,median,0.9587852727474336,phase5_overflex_winner_flag,72,71,0.8472222222222222,0.8732394366197183,0.026017214397496047,0.026017214397496047,0.7962037962037962,False
rrf_rc_over_rlast,median,0.3135420143107699,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8561438561438561,False
median_err_fraction,median,0.0442729492729492,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8541458541458542,False
roughness_rms_diff,median,0.030937135202683,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8641358641358642,False
kernel_curve_corr,median,0.9587852727474336,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8491508491508492,False
v_max_kms,median,114.0,existing_bic_overflex_flag,72,71,0.6666666666666666,0.6901408450704225,0.023474178403755874,0.023474178403755874,0.8661338661338661,False
rrf_rc_over_rlast,median,0.3135420143107699,existing_bic_overflex_flag,72,71,0.6666666666666666,0.6901408450704225,0.023474178403755874,0.023474178403755874,0.8441558441558441,False
kernel_curve_corr,median,0.9587852727474336,response_family_zone_flag,72,71,0.5277777777777778,0.5492957746478874,0.02151799687010958,0.02151799687010958,0.8781218781218781,False
rrf_A_over_vouter2,median,0.762686372163753,existing_aicc_overflex_flag,72,71,0.4583333333333333,0.4788732394366197,0.020539906103286376,0.020539906103286376,0.8721278721278721,False
n_points,median,17.0,snrrf_existing_aicc_winner_flag,75,68,0.12,0.10294117647058823,-0.017058823529411765,0.017058823529411765,0.8041958041958042,False
best_n,median,2.25,snrrf_existing_aicc_winner_flag,77,66,0.11688311688311688,0.10606060606060606,-0.010822510822510817,0.010822510822510817,1.0,False
n_points,median,17.0,poly_aicc_high_flex_flag,75,68,0.9066666666666666,0.8970588235294118,-0.009607843137254823,0.009607843137254823,1.0,False
rrf_rc_over_rlast,median,0.3135420143107699,existing_aicc_overflex_flag,72,71,0.4722222222222222,0.4647887323943662,-0.007433489827856021,0.007433489827856021,1.0,False
rrf_A_over_vouter2,median,0.762686372163753,response_family_zone_flag,72,71,0.5416666666666666,0.5352112676056338,-0.006455399061032874,0.006455399061032874,1.0,False
v_outer_kms,median,110.5011312159292,existing_bic_overflex_flag,72,71,0.6805555555555556,0.676056338028169,-0.004499217527386579,0.004499217527386579,1.0,False
gas_fraction_proxy,median,0.0826615559827784,phase5_overflex_winner_flag,72,71,0.8611111111111112,0.8591549295774648,-0.001956181533646406,0.001956181533646406,1.0,False
rrf_A_over_vouter2,median,0.762686372163753,phase5_overflex_winner_flag,72,71,0.8611111111111112,0.8591549295774648,-0.001956181533646406,0.001956181533646406,1.0,False
rrf_rc_over_rlast,median,0.3135420143107699,snrrf_existing_aicc_winner_flag,72,71,0.1111111111111111,0.11267605633802817,0.0015649452269170666,0.0015649452269170666,1.0,False
median_err_fraction,median,0.0442729492729492,snrrf_existing_aicc_winner_flag,72,71,0.1111111111111111,0.11267605633802817,0.0015649452269170666,0.0015649452269170666,1.0,False
rrf_A_over_vouter2,median,0.762686372163753,poly_aicc_high_flex_flag,72,71,0.9027777777777778,0.9014084507042254,-0.0013693270735524177,0.0013693270735524177,1.0,False
