galaxy,stage8_class,n_points,best_n,best_aic_v2,best_A_kms2,best_rc_kpc,locked_n,locked_aic_v2,locked_A_kms2,locked_rc_kpc,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_2_of_best,grid_count_within_10_of_best
CamB,CORE-PATHOLOGY-ARCHIVE,9,12.0,27.98624272216819,285.90489246484066,1.5536708216991957,3.258993,36.559677669615425,5720.558392435282,5.37,8.573434947447236,0,1,22,30
D631-7,ROBUST-DIAGNOSTIC-CANDIDATE,16,3.0,10.002312238261535,3624.661007049673,3.8942211659748636,3.258993,10.340130476301272,3435.657465306238,3.7349791805429966,0.33781823803973765,1,1,6,12
DDO064,ROBUST-DIAGNOSTIC-CANDIDATE,14,2.5,7.54517181283717,2257.5204464837575,1.4992128245532792,3.258993,7.769454802843936,1935.3075624761286,1.302091904724611,0.224282990006766,1,1,20,39
DDO154,ROBUST-DIAGNOSTIC-CANDIDATE,12,2.25,10.019877533138947,2267.9621665701675,2.2887661561824117,3.258993,25.85253125157227,1956.1912996351664,1.9550239129331044,15.832653718433322,0,0,3,6
DDO161,ROBUST-DIAGNOSTIC-CANDIDATE,31,2.0,11.443722663815134,4582.630458933492,7.05899237073421,3.258993,23.1447472790161,3703.9363009437093,5.906865427071385,11.701024615200968,0,0,3,7
DDO168,ROBUST-DIAGNOSTIC-CANDIDATE,10,4.5,12.137594577463519,2477.037649084716,1.9340164862943905,3.258993,15.321922441131502,2909.4049198991584,2.1666066295763633,3.184327863667983,0,1,8,18
DDO170,ROBUST-DIAGNOSTIC-CANDIDATE,8,2.0,11.707896203680946,3223.790246112708,3.841828044891578,3.258993,18.000277349096137,2822.90905374376,3.4660216214994293,6.292381145415192,0,1,5,12
ESO079-G014,ROBUST-DIAGNOSTIC-CANDIDATE,15,2.75,9.211634331316347,23685.583713287615,6.544411505202164,3.258993,11.257215505123627,22148.358938058864,5.926364281011553,2.04558117380728,0,1,4,10
ESO116-G012,ROBUST-DIAGNOSTIC-CANDIDATE,15,2.0,14.35211798187315,11697.78388732758,3.5440902068540168,3.258993,32.506990078285895,9880.733306470516,2.9092728286466043,18.154872096412745,0,0,3,7
ESO563-G021,ROBUST-DIAGNOSTIC-CANDIDATE,30,4.25,113.72348234786861,67484.20032842676,6.313939011144982,3.258993,139.43275509714869,70671.20685492849,6.682048317889626,25.709272749280075,0,0,2,6
F563-1,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,17,3.75,7.472782988285845,9997.95765300658,2.824708900842517,3.258993,7.620579259366702,10157.033823983229,2.9491499026985215,0.1477962710808569,1,1,19,37
F563-V2,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,10,2.75,4.477215846253684,12292.074414936042,2.133596834535768,3.258993,4.708606650577496,11724.14770141187,1.9348230224795804,0.2313908043238122,1,1,12,38
F568-1,ROBUST-DIAGNOSTIC-CANDIDATE,12,2.5,4.2500221176351225,15342.41504409469,3.1255451957251186,3.258993,5.162527752487417,14352.960243053076,2.8447621221609696,0.9125056348522946,1,1,10,28
F568-3,ROBUST-DIAGNOSTIC-CANDIDATE,18,3.25,7.407068814224998,8410.36511339853,3.8103504364380085,3.258993,7.409435972173604,8413.441002210191,3.8103504364380085,0.002367157948605758,1,1,6,15
F568-V1,ROBUST-DIAGNOSTIC-CANDIDATE,15,2.5,4.775251367267122,12034.630259398102,2.5567865154683576,3.258993,5.12601060224388,11491.227686976064,2.5567865154683576,0.3507592349767572,1,1,14,40
F571-8,ROBUST-DIAGNOSTIC-CANDIDATE,13,4.75,116.64730099544269,17651.49754095726,5.623945081972197,3.258993,125.38741999795913,20167.671268671656,6.2684412845910655,8.740119002516437,0,1,6,17
F574-1,ROBUST-DIAGNOSTIC-CANDIDATE,14,2.25,4.519580558800069,8376.4681294674,3.1358151220553285,3.258993,7.095317341849616,7628.08639033955,2.7307820645311347,2.575736783049547,0,1,5,14
F579-V1,ROBUST-DIAGNOSTIC-CANDIDATE,14,2.0,4.176219509729422,9546.960978718143,1.1316558490200999,3.258993,6.011533404516449,8941.482912495887,0.9781250815955218,1.835313894787027,1,1,10,40
F583-1,ROBUST-DIAGNOSTIC-CANDIDATE,25,2.5,5.9046229055121575,6096.2086958670725,3.595244155629949,3.258993,9.193342054997867,5262.242469229842,3.0647202183107036,3.2887191494857095,0,1,4,11
F583-4,CORE-PATHOLOGY-ARCHIVE,12,1.25,5.503336579698382,6270.885467343629,5.722718006965215,3.258993,11.8903636847025,2996.968089198767,1.570906818636468,6.387027105004118,0,1,4,19
IC2574,ROBUST-DIAGNOSTIC-CANDIDATE,34,1.5,37.529481530888674,21522.648384059226,30.69,3.258993,150.63903673133046,3005.173031799719,5.218825966995667,113.10955520044179,0,0,2,2
IC4202,ROBUST-DIAGNOSTIC-CANDIDATE,32,5.25,2564.170491051193,30367.22669075452,5.03521681993967,3.258993,2637.5581183412824,32763.440880744394,5.54263808585489,73.38762729008931,0,0,5,11
KK98-251,ROBUST-DIAGNOSTIC-CANDIDATE,15,2.5,6.860945518150593,1150.0495998557515,2.0770836963475157,3.258993,8.197509933275953,920.2828960126411,1.7031070425505037,1.33656441512536,1,1,8,20
NGC0024,ROBUST-DIAGNOSTIC-CANDIDATE,29,2.0,12.278461603550268,9943.344738276615,1.1561751447649349,3.258993,23.753413358362806,9494.837681143608,1.0976640765100962,11.474951754812539,0,0,3,7
NGC0055,ROBUST-DIAGNOSTIC-CANDIDATE,21,2.5,6.616578570579791,6104.002165826488,5.44294579475866,3.258993,13.66850878594904,5168.361150912015,4.664297457161364,7.051930215369249,0,1,3,7
NGC0100,ROBUST-DIAGNOSTIC-CANDIDATE,21,2.0,5.432807681263624,8211.477241304485,4.565113882053476,3.258993,11.92996962944553,5963.701180981917,3.2206271852894535,6.4971619481819065,0,1,4,11
NGC0247,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,26,1.25,36.371362857631944,10426.843386881195,6.050928301459395,3.258993,161.83211696264604,4753.434211227554,1.8797789540655412,125.4607541050141,0,0,1,3
NGC0289,ROBUST-DIAGNOSTIC-CANDIDATE,28,1.0,55.45808267567463,24455.281619833895,5.195937715402706,3.258993,63.299030674702195,21165.487498196533,6.701532783652177,7.840947999027563,0,1,5,18
NGC0300,WEAK-OR-REGIME-DEPENDENT-SIGNAL,25,1.5,13.129026415786454,10012.833305360095,4.603736882422867,3.258993,44.97062880045967,7402.212587904625,2.9650743218161133,31.841602384673216,0,0,3,6
NGC0801,ROBUST-DIAGNOSTIC-CANDIDATE,13,12.0,69.58104333829112,23088.98895091351,1.9264690753161073,3.258993,81.28778486074087,23651.120064135874,2.6243760245758736,11.706741522449747,0,0,2,30
NGC0891,ROBUST-DIAGNOSTIC-CANDIDATE,18,8.0,180.03686539025847,20165.721122984858,8.069520332834625,3.258993,223.0132441893234,26822.61690907791,9.585043681593085,42.97637879906492,0,0,14,21
NGC1003,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,36,0.75,80.89185364292159,28250.793620821896,50.38492783351821,3.258993,315.1047843753736,9631.297962802122,6.884331048874845,234.21293073245198,0,0,1,2
NGC1090,WEAK-OR-REGIME-DEPENDENT-SIGNAL,24,2.25,35.41081685112236,17600.116376653143,5.518834491086526,3.258993,38.86125037380526,16836.256891492703,4.66686894806681,3.4504335226829,0,1,4,28
NGC1705,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,14,1.25,4.654316629471535,4856.007348098724,0.35330542479266336,3.258993,7.690242405166195,4411.09553818121,0.244050657020042,3.0359257756946603,0,1,8,41
NGC2366,ROBUST-DIAGNOSTIC-CANDIDATE,26,3.25,11.374829343687823,1983.3559382363574,1.8922403844423543,3.258993,11.39387005555725,1982.5216421250516,1.8922403844423543,0.01904071186942602,1,1,5,12
NGC2403,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,73,1.0,374.75546175388774,22441.0171707574,8.310024077525936,3.258993,2263.574268647397,12474.082219874055,2.8528979395277223,1888.8188068935092,0,0,1,1
NGC2683,ROBUST-DIAGNOSTIC-CANDIDATE,11,3.258993,12.699720857840738,19137.971711747334,3.1348361000034948,3.258993,12.699720857840738,19137.971711747334,3.1348361000034948,0.0,1,1,36,41
NGC2841,ROBUST-DIAGNOSTIC-CANDIDATE,50,2.5,74.75166631507352,63431.10275780002,3.3583105305607237,3.258993,76.99603089733672,63143.13339515807,3.659784760053645,2.244364582263202,0,1,6,16
NGC2903,WEAK-OR-REGIME-DEPENDENT-SIGNAL,34,3.258993,930.2696313144968,24157.52107225207,6.2808709311988355,3.258993,930.2696313144968,24157.52107225207,6.2808709311988355,0.0,1,1,3,7
NGC2915,ROBUST-DIAGNOSTIC-CANDIDATE,30,5.5,17.3516474124025,6241.451534623429,1.722048681236478,3.258993,20.028610725489372,6402.675907347968,1.8047595619267358,2.6769633130868726,0,1,27,34
NGC2955,ROBUST-DIAGNOSTIC-CANDIDATE,24,5.5,92.59806075642928,31336.35222470475,10.777102274018093,3.258993,94.24562696521346,32984.47603485001,11.339415783870171,1.647566208784184,1,1,29,39
NGC2976,WEAK-OR-REGIME-DEPENDENT-SIGNAL,27,2.25,11.321455429110879,6756.364162814184,1.9920214491402555,3.258993,15.37841601158673,3715.1969734160334,1.2290399679464972,4.056960582475851,0,1,4,11
NGC2998,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,13,0.5,13.441865930559391,47067.405542343775,11.859282159004422,3.258993,45.339758566669474,28397.412809038633,1.889861957030257,31.897892636110083,0,0,1,3
NGC3109,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,25,2.0,7.707004028657286,5947.358534729501,4.318421829221029,3.258993,48.02309135606444,3577.4050837128443,2.3918300140781263,40.31608732740715,0,0,2,4
NGC3198,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,43,2.0,35.960880046449304,18074.931857630323,5.541909256174449,3.258993,104.23710651517696,17110.37451287564,5.541909256174449,68.27622646872766,0,0,2,3
NGC3521,WEAK-OR-REGIME-DEPENDENT-SIGNAL,41,0.75,15.447224115957496,91758.29002720008,53.22,3.258993,54.35550355823688,26540.28166523936,4.7587461533835995,38.90827944227939,0,0,2,4
NGC3726,ROBUST-DIAGNOSTIC-CANDIDATE,12,1.0,24.859212235665307,81033.29531920185,97.56,3.258993,32.953096386071095,13556.053363242305,8.071501903739437,8.093884150405788,0,1,3,15
NGC3741,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,21,1.0,10.705183415190291,9786.528549847812,19.109574359869825,3.258993,59.77343674347597,2159.0197021135873,2.1826321758427967,49.06825332828568,0,0,2,4
NGC3769,ROBUST-DIAGNOSTIC-CANDIDATE,12,4.75,6.318535436167601,10189.695511059288,5.2843890771381306,3.258993,6.952557703068828,10683.154658864687,5.2843890771381306,0.6340222669012263,1,1,33,38
NGC3877,ROBUST-DIAGNOSTIC-CANDIDATE,13,12.0,43.90534447122996,9659.199708043197,2.4221758651766145,3.258993,59.4227619674885,9985.031601823284,2.5211475883962025,15.517417496258538,0,0,15,26
NGC3893,ROBUST-DIAGNOSTIC-CANDIDATE,10,3.0,5.536142287271633,20983.026509739575,4.310977899548357,3.258993,5.5394434797465895,20433.75587228653,4.1478491556177195,0.003301192474956416,1,1,17,39
NGC3917,ROBUST-DIAGNOSTIC-CANDIDATE,17,2.75,12.29180745246142,13107.919788880426,3.83118396764703,3.258993,14.677736830308595,12587.121051148944,3.6724595661372796,2.385929377847175,0,1,3,10
NGC3953,WEAK-OR-REGIME-DEPENDENT-SIGNAL,8,4.0,4.711550118205587,20401.042388435148,3.2521844584811053,3.258993,4.743090527567326,20681.909488386147,3.1527054751456616,0.03154040936173974,1,1,41,41
NGC3972,ROBUST-DIAGNOSTIC-CANDIDATE,10,1.75,9.749448689132524,15252.90233586354,4.255686312424947,3.258993,16.779076714509635,10464.017664887328,2.6023876524285665,7.029628025377111,0,1,4,12
NGC3992,ROBUST-DIAGNOSTIC-CANDIDATE,9,3.0,7.250354297394258,43177.73574974976,4.950689859550789,3.258993,7.251636752531045,43070.76029424699,5.111681878260927,0.0012824551367867087,1,1,39,41
NGC4010,ROBUST-DIAGNOSTIC-CANDIDATE,12,4.5,12.502100303547364,10521.435652358,4.746360644709446,3.258993,13.287501415802941,11642.914211613202,5.135194147699833,0.7854011122555775,1,1,17,36
NGC4013,WEAK-OR-REGIME-DEPENDENT-SIGNAL,36,0.75,34.0823685019848,78719.13393299741,93.03,3.258993,95.65371726225906,20965.62500407685,8.35564029125149,61.57134876027426,0,0,1,3
NGC4088,ROBUST-DIAGNOSTIC-CANDIDATE,12,4.0,11.652182384422172,27011.74642678877,19.65286632942013,3.258993,11.878325534271639,42366.61479743951,24.921365036110558,0.2261431498494666,1,1,24,36
NGC4100,WEAK-OR-REGIME-DEPENDENT-SIGNAL,24,3.0,23.232039060262952,20599.49081401387,3.1391046888751366,3.258993,23.311158477353274,20463.3539902344,3.1391046888751366,0.07911941709032178,1,1,11,36
NGC4157,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,17,1.5,9.497860379233266,42637.99508913281,23.951001680612226,3.258993,14.635466751654114,22873.2708623332,12.176555856021743,5.137606372420848,0,1,6,15
NGC4183,ROBUST-DIAGNOSTIC-CANDIDATE,23,1.5,6.434489707680374,9647.14963154303,2.9115347935808034,3.258993,13.448433406248883,8542.449326871048,2.659736975198354,7.013943698568509,0,1,5,15
NGC4214,WEAK-OR-REGIME-DEPENDENT-SIGNAL,14,0.5,7.637179456414689,16604.56469649062,16.89,3.258993,23.00579535378477,5312.639615830226,1.0625593758218517,15.36861589737008,0,0,2,8
NGC4217,ROBUST-DIAGNOSTIC-CANDIDATE,19,12.0,1022.5863332198695,13997.495712386326,9.266348000864422,3.258993,1054.3961516061688,30879.97706584785,14.920343266658648,31.8098183862993,0,0,7,19
NGC4559,ROBUST-DIAGNOSTIC-CANDIDATE,32,1.75,12.25457262170637,12329.76743340885,7.108062902165013,3.258993,21.615652284891645,10156.158072381499,6.165842858980832,9.361079663185276,0,1,5,11
NGC5005,WEAK-OR-REGIME-DEPENDENT-SIGNAL,18,4.0,10.35642238378393,26967.78091105346,5.6969098331851145,3.258993,10.430195526162507,31197.319308626167,6.51955187528158,0.07377314237857746,1,1,36,39
NGC5033,WEAK-OR-REGIME-DEPENDENT-SIGNAL,22,3.75,91.14466263048821,31093.78761684937,7.000095347595078,3.258993,93.06692734328172,31264.775900717337,6.640861243698657,1.9222647127935062,1,1,6,13
NGC5055,ROBUST-DIAGNOSTIC-CANDIDATE,28,3.5,55.18295000373462,22437.326482175187,11.77874386732499,3.258993,63.77289667209932,22556.856559550706,11.77874386732499,8.589946668364703,0,1,2,5
NGC5371,CORE-PATHOLOGY-ARCHIVE,19,12.0,85.20918381274753,16032.285312814674,0.48333333333333334,3.258993,85.33955083793701,16036.317683215531,0.48333333333333334,0.13036702518948573,1,1,40,41
NGC5585,ROBUST-DIAGNOSTIC-CANDIDATE,24,2.25,101.24135328655562,7556.401341610179,3.9566283153686514,3.258993,120.52155403541339,6564.65142689544,3.127135851746182,19.280200748857766,0,0,2,5
NGC5907,WEAK-OR-REGIME-DEPENDENT-SIGNAL,19,0.5,54.805695181685,37805.27638562839,1.6766666666666667,3.258993,70.7700518586543,30286.533634314055,2.44731882059781,15.964356676969295,0,0,2,6
NGC5985,ROBUST-DIAGNOSTIC-CANDIDATE,33,3.75,48.769901265569814,60953.03226871633,3.5161968731295152,3.258993,50.17684036051062,61131.45245526109,3.38627140693577,1.4069390949408032,1,1,8,17
